year,publisher,type,platform,model,method,title,doi,url,pdf,ignore,silicon,pubkey,pubname,reserved
2019,arXiv,article,__no_data__,['BERT'],__no_data__,A Simple and Effective Approach to Automatic Post-Editing with Transfer Learning,https://doi.org/10.48550/arXiv.1906.06253,https://doi.org/10.48550/arXiv.1906.06253,False,check,check,,Computer Science > Computation and Language,DEADBEEF
2021,arXiv,article,__no_data__,['BERT'],__no_data__,A Study on Token Pruning for ColBERT,https://doi.org/10.48550/arXiv.2112.06540,https://doi.org/10.48550/arXiv.2112.06540,False,check,check,,Computer Science > Information Retrieval,DEADBEEF
2021,arXiv,article,__no_data__,['BERT'],__no_data__,A White Paper on Neural Network Quantization,https://doi.org/10.48550/arXiv.2106.08295,https://doi.org/10.48550/arXiv.2106.08295,False,check,check,,Computer Science > Machine Learning,DEADBEEF
2020,IEEE,article,__no_data__,['BERT'],__no_data__,A^3: Accelerating Attention Mechanisms in Neural Networks with Approximation,https://doi.org/10.1109/HPCA47549.2020.00035,https://doi.org/10.1109/HPCA47549.2020.00035,False,False,True,,International Symposium on High Performance Computer Architecture (HPCA),DEADBEEF
2020,IEEE,article,__no_data__,['BERT'],__no_data__,Emerging Neural Workloads and Their Impact on Hardware,https://doi.org/10.23919/DATE48585.2020.9116435,https://doi.org/10.23919/DATE48585.2020.9116435,False,check,check,,"Design, Automation & Test in Europe Conference & Exhibition (DATE)",DEADBEEF
2021,ACM,article,__no_data__,['BERT'],__no_data__,Accelerated Device Placement Optimization with Contrastive Learning,https://doi.org/10.1145/3472456.3472523,https://doi.org/10.1145/3472456.3472523,False,False,True,,International Conference on Parallel Processing,DEADBEEF
2022,ACM,article,__no_data__,['BERT'],__no_data__,Accelerating attention mechanism on fpgas based on efficient reconfigurable systolic array,https://doi.org/10.1145/3549937,https://doi.org/10.1145/3549937,False,False,True,,ACM Transactions on Embedded Computing Systems,DEADBEEF
2022,ACM,article,__no_data__,['BERT'],__no_data__,Accelerating attention through gradient-based learned runtime pruning,https://doi.org/10.1145/3470496.3527423,https://doi.org/10.1145/3470496.3527423,False,False,True,,International Symposium on Computer Architecture,DEADBEEF
2021,ACM,article,__no_data__,['BERT'],__no_data__,Accelerating bandwidth-bound deep learning inference with main-memory accelerators,https://doi.org/10.1145/3458817.3476146,https://doi.org/10.1145/3458817.3476146,False,False,True,,"International Conference for High Performance Computing, Networking, Storage and Analysis",DEADBEEF
2021,Purdue%20University,article,__no_data__,['BERT'],__no_data__,Accelerating Emerging Neural Workloads,https://doi.org/10.25394/pgs.17139038.v1,https://doi.org/10.25394/pgs.17139038.v1,False,False,True,,Open Access Theses and Dissertations,DEADBEEF
2020,MDPI,article,__no_data__,['BERT'],__no_data__,Accelerating event detection with DGCNN and FPGAS,https://doi.org/10.3390/electronics9101666,https://doi.org/10.3390/electronics9101666,False,False,True,,Electronics,DEADBEEF
2021,IEEE/ACM,article,__no_data__,['BERT'],__no_data__,Accelerating Framework of Transformer by Hardware Design and Model Compression Co-Optimization,https://doi.org/10.1109/ICCAD51958.2021.9643586,https://doi.org/10.1109/ICCAD51958.2021.9643586,False,False,True,,International Conference On Computer Aided Design (ICCAD),DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,Accelerating NLP Tasks on FPGA with Compressed BERT and a Hardware-Oriented Early Exit Method,https://doi.org/10.1109/ISVLSI54635.2022.00092,https://doi.org/10.1109/ISVLSI54635.2022.00092,False,False,True,,IEEE Computer Society Annual Symposium on VLSI (ISVLSI),DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,Accelerating Transformer Networks through Recomposing Softmax Layers,https://doi.org/10.1109/IISWC55918.2022.00018,https://doi.org/10.1109/IISWC55918.2022.00018,http://scale.snu.ac.kr/papers/2022-11-Conference-IISWC-Softmax-recomposition.pdf,False,True,,International Symposium on Workload Characterization (IISWC),DEADBEEF
2021,IEEE,article,__no_data__,['BERT'],__no_data__,Accelerating Transformer-based Deep Learning Models on FPGAs using Column Balanced Block Pruning,https://doi.org/10.1109/ISQED51717.2021.9424344,https://doi.org/10.1109/ISQED51717.2021.9424344,https://wangshusen.github.io/papers/ISQED2021.pdf,False,True,,International Symposium on Quality Electronic Design (ISQED),DEADBEEF
2021,ACM,article,__no_data__,['BERT'],__no_data__,Accommodating Transformer onto FPGA: Coupling the Balanced Model Compression and FPGA-Implementation Optimization,https://doi.org/10.1145/3453688.3461739,https://doi.org/10.1145/3453688.3461739,False,False,True,,Proceedings of the 2021 on Great Lakes Symposium on VLSI,DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,Achieving the Performance of All-Bank In-DRAM PIM With Standard Memory Interface: Memory-Computation Decoupling,https://doi.org/10.1109/ACCESS.2022.3203051,https://doi.org/10.1109/ACCESS.2022.3203051,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9870805,False,True,,IEEE Access,DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,Adaptable Butterfly Accelerator for Attention-based NNs via Hardware and Algorithm Co-design,https://doi.org/10.1109/MICRO56248.2022.00050,https://doi.org/10.1109/MICRO56248.2022.00050,https://arxiv.org/pdf/2209.09570.pdf,False,True,,IEEE/ACM International Symposium on Microarchitecture (MICRO),DEADBEEF
2021,arXiv,article,__no_data__,['BERT'],__no_data__,Adapting by pruning: A case study on BERT,https://doi.org/10.48550/arXiv.2105.03343,https://doi.org/10.48550/arXiv.2105.03343,https://arxiv.org/pdf/2105.03343.pdf,check,check,,Computer Science > Machine Learning,DEADBEEF
2021,ACM,article,__no_data__,['BERT'],__no_data__,"Adaptive Inference through Early-Exit Networks: Design, Challenges and Directions",https://doi.org/10.1145/3469116.3470012,https://doi.org/10.1145/3469116.3470012,False,False,check,,International Workshop on Embedded and Mobile Deep Learning,DEADBEEF
2021,IEEE,article,__no_data__,['BERT'],__no_data__,Adaptive Spatio-Temporal Graph Enhanced Vision-Language Representation for Video QA,https://doi.org/10.1109/TIP.2021.3076556,https://doi.org/10.1109/TIP.2021.3076556,False,False,check,,IEEE Transactions on Image Processing,DEADBEEF
2021,ACM,article,__no_data__,['BERT'],__no_data__,Algorithm-hardware Co-design of Attention Mechanism on FPGA Devices,https://doi.org/10.1145/3477002,https://doi.org/10.1145/3477002,False,False,check,,Transactions on Embedded Computing System,DEADBEEF
2018,IEEE/ACM,article,__no_data__,['BERT'],__no_data__,Algorithm-Hardware Co-Design of Single Shot Detector for Fast Object Detection on FPGAs,https://doi.org/10.1145/3240765.3240775,https://doi.org/10.1145/3240765.3240775,False,False,check,,International Conference on Computer-Aided Design (ICCAD),DEADBEEF
2022,arXiv,article,__no_data__,['BERT'],__no_data__,AlphaTuning: Quantization-Aware Parameter-Efficient Adaptation of Large-Scale Pre-Trained Language Models,https://doi.org/10.48550/arXiv.2210.03858,https://doi.org/10.48550/arXiv.2210.03858,False,False,check,,Computer Science > Machine Learning,DEADBEEF
2022,ACL,article,__no_data__,['BERT'],__no_data__,Alternative non-BERT model choices for the textual classification in low-resource languages and environments,http://dx.doi.org/10.18653/v1/2022.deeplo--1.20,http://dx.doi.org/10.18653/v1/2022.deeplo--1.20,False,False,check,,Proceedings of the Third Workshop on Deep Learning for Low-Resource Natural Language Processing,DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,An Algorithm-Hardware Co-Optimized Framework for Accelerating N:M Sparse Transformers,https://doi.org/10.1109/TVLSI.2022.3197282,https://doi.org/10.1109/TVLSI.2022.3197282,False,False,True,,IEEE Transactions on Very Large Scale Integration (VLSI) Systems (,DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,An Automatic and Efficient BERT Pruning for Edge AI Systems,https://doi.org/10.1109/ISQED54688.2022.9806197,https://doi.org/10.1109/ISQED54688.2022.9806197,False,False,check,,International Symposium on Quality Electronic Design (ISQED),DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,An Efficient Hardware Accelerator for Sparse Transformer Neural Networks,https://doi.org/10.1109/ISCAS48785.2022.9937659,https://doi.org/10.1109/ISCAS48785.2022.9937659,False,False,True,,International Symposium on Circuits and Systems (ISCAS),DEADBEEF
2023,Springer,article,__no_data__,['BERT'],__no_data__,An Efficient Transformer Inference Engine on DSP,https://doi.org/10.1007/978--3--031--22677--9_29,https://doi.org/10.1007/978-3-031-22677-9_29,False,False,True,,International Conference on Algorithms and Architectures for Parallel Processing,DEADBEEF
2020,TheSAI,article,__no_data__,['BERT'],__no_data__,An Empirical Analysis of BERT Embedding for Automated Essay Scoring,https://doi.org/10.14569/ijacsa.2020.0111027,https://doi.org/10.14569/ijacsa.2020.0111027,False,False,True,,International Journal of Advanced Computer Science and Applications,DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,An Energy-Efficient Transformer Processor Exploiting Dynamic Weak Relevances in Global Attention,https://doi.org/10.1109/JSSC.2022.3213521,https://doi.org/10.1109/JSSC.2022.3213521,False,False,True,,Journal of Solid-State Circuits,DEADBEEF
2019,IEEE,article,__no_data__,['BERT'],__no_data__,An Evaluation of Transfer Learning for Classifying Sales Engagement Emails at Large Scale,https://doi.org/10.1109/CCGRID.2019.00069,https://doi.org/10.1109/CCGRID.2019.00069,False,False,True,,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGRID)",DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,An FPGA-Based Transformer Accelerator Using Output Block Stationary Dataflow for Object Recognition Applications,https://doi.org/10.1109/TCSII.2022.3196055,https://doi.org/10.1109/TCSII.2022.3196055,False,False,True,,Transactions on Circuits and Systems II: Express Briefs,DEADBEEF
2020,Springer,article,__no_data__,['BERT'],__no_data__,An investigation on different underlying quantization schemes for pre-trained language models,https://doi.org/10.1007/978--3--030--60450--9_29,https://doi.org/10.1007/978-3-030-60450-9_29,False,False,True,,International Conference on Natural Language Processing and Chinese Computing,DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,Analog-memory-based 14nm Hardware Accelerator for Dense Deep Neural Networks including Transformers,https://doi.org/10.1109/ISCAS48785.2022.9937292,https://doi.org/10.1109/ISCAS48785.2022.9937292,False,False,True,,International Symposium on Circuits and Systems (ISCAS),DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,Answer Fast: Accelerating BERT on the Tensor Streaming Processor,https://doi.org/10.1109/ASAP54787.2022.00022,https://doi.org/10.1109/ASAP54787.2022.00022,False,False,True,,"International Conference on Application-specific Systems, Architectures and Processors (ASAP)",DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,ANT: Exploiting Adaptive Numerical Data Type for Low-bit Deep Neural Network Quantization,https://doi.org/10.1109/MICRO56248.2022.00095,https://doi.org/10.1109/MICRO56248.2022.00095,False,False,True,,IEEE/ACM International Symposium on Microarchitecture (MICRO),DEADBEEF
2022,Elsevier,article,__no_data__,['BERT'],__no_data__,APT: The master-copy-free training method for quantised neural network on edge devices,https://doi.org/10.1016/j.jpdc.2022.04.005,https://doi.org/10.1016/j.jpdc.2022.04.005,False,False,True,,Journal of Parallel and Distributed Computing,DEADBEEF
2021,IEEE,article,__no_data__,['BERT'],__no_data__,Aquabolt-XL: Samsung HBM2-PIM with in-memory processing for ML accelerators and beyond,https://doi.org/10.1109/HCS52781.2021.9567191,https://doi.org/10.1109/HCS52781.2021.9567191,False,False,True,,IEEE Hot Chips 33 Symposium (HCS),DEADBEEF
2020,IEEE,article,__no_data__,['BERT'],__no_data__,ATT: A Fault-Tolerant ReRAM Accelerator for Attention-based Neural Networks,https://doi.org/10.1109/ICCD50377.2020.00047,https://doi.org/10.1109/ICCD50377.2020.00047,False,False,True,,International Conference on Computer Design (ICCD),DEADBEEF
2021,PlosOne,article,__no_data__,['BERT'],__no_data__,AUBER: Automated BERT regularization,https://doi.org/10.1371/journal.pone.0253241,https://doi.org/10.1371/journal.pone.0253241,False,False,True,,Plos one,DEADBEEF
2022,arXiv,article,__no_data__,['BERT'],__no_data__,Auto-ViT-Acc: An FPGA-Aware Automatic Acceleration Framework for Vision Transformer with Mixed-Scheme Quantization,https://doi.org/10.48550/arXiv.2208.05163,https://doi.org/10.48550/arXiv.2208.05163,False,False,True,,Computer Science > Computer Vision and Pattern Recognition,DEADBEEF
2021,arXiv,article,__no_data__,['BERT'],__no_data__,Automatic Mixed-Precision Quantization Search of BERT,https://doi.org/10.24963/ijcai.2021/472,https://doi.org/10.24963/ijcai.2021/472,False,False,True,,Computer Science > Computation and Language,DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,Balance Multi-Head Attention based on Software and Hardware Co-design,https://doi.org/10.1109/CSCloud--EdgeCom54986.2022.00018,https://doi.org/10.1109/CSCloud-EdgeCom54986.2022.00018,False,False,True,,International Conference on Edge Computing and Scalable Cloud (EdgeCom),DEADBEEF
2022,arXiv,article,__no_data__,['BERT'],__no_data__,BEBERT: Efficient and robust binary ensemble BERT,https://doi.org/10.48550/arXiv.2210.15976,https://doi.org/10.48550/arXiv.2210.15976,False,False,True,,Computer Science > Computation and Language,DEADBEEF
2021,arXiv,article,__no_data__,['BERT'],__no_data__,BERMo: What can BERT learn from ELMo?,https://doi.org/10.48550/arXiv.2110.15802,https://doi.org/10.48550/arXiv.2110.15802,False,False,True,,Computer Science > Computation and Language,DEADBEEF
2021,IEEE,article,__no_data__,['BERT'],__no_data__,BERT Model for Classification of Fake News using the Cloud Processing Capacity,https://doi.org/10.1109/R10--HTC53172.2021.9641632,https://doi.org/10.1109/R10-HTC53172.2021.9641632,False,False,True,,IEEE 9th Region 10 Humanitarian Technology Conference (R10-HTC),DEADBEEF
2022,LUT%20University,article,__no_data__,['BERT'],__no_data__,BERT model optimization methods for inference: a comparative study of five alternative BERT-model implementations,https://urn.fi/URN:NBN:fi--fe2022121270782,https://urn.fi/URN:NBN:fi-fe2022121270782,False,False,True,,"School of Engineering Science, Tuotantotalous",DEADBEEF
2022,arXiv,article,__no_data__,['BERT'],__no_data__,BERT on a Data Diet: Finding Important Examples by Gradient-Based Pruning,https://doi.org/10.48550/arXiv.2211.05610,https://doi.org/10.48550/arXiv.2211.05610,False,False,True,,Computer Science > Computation and Language,DEADBEEF
2021,arXiv,article,__no_data__,['BERT'],__no_data__,Bertinho: Galician BERT representations,https://doi.org/10.48550/arXiv.2103.13799,https://doi.org/10.48550/arXiv.2103.13799,False,False,True,,Computer Science > Computation and Language,DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,BERTPerf: Inference Latency Predictor for BERT on ARM big.LITTLE Multi-Core Processors,https://doi.org/10.1109/SiPS55645.2022.9919203,https://doi.org/10.1109/SiPS55645.2022.9919203,False,False,True,,IEEE Workshop on Signal Processing Systems (SiPS),DEADBEEF
2021,ACL,article,__no_data__,['BERT'],__no_data__,BERxiT: Early exiting for BERT with better fine-tuning and extension to regression,http://dx.doi.org/10.18653/v1/2021.--eacl--main.8,http://dx.doi.org/10.18653/v1/2021.eacl-main.8,False,False,True,,Association%20for%20Computational%20Linguistics,DEADBEEF
2021,arXiv,article,__no_data__,['BERT'],__no_data__,Beyond preserved accuracy: Evaluating loyalty and robustness of BERT compression,https://doi.org/10.48550/arXiv.2109.03228,https://doi.org/10.48550/arXiv.2109.03228,False,False,True,,Computer Science > Computation and Language,DEADBEEF
2022,arXiv,article,__no_data__,['BERT'],__no_data__,BiBERT: Accurate Fully Binarized BERT,https://doi.org/10.48550/arXiv.2203.06390,https://doi.org/10.48550/arXiv.2203.06390,False,False,True,,Computer Science > Computation and Language,DEADBEEF
2022,arXiv,article,__no_data__,['BERT'],__no_data__,Bigger&Faster: Two-stage Neural Architecture Search for Quantized Transformer Models,https://doi.org/10.48550/arXiv.2209.12127,https://doi.org/10.48550/arXiv.2209.12127,False,False,True,,Computer Science > Machine Learning,DEADBEEF
2021,IEEE,article,__no_data__,['BERT'],__no_data__,Binary Complex Neural Network Acceleration on FPGA : (Invited Paper),https://doi.org/10.1109/ASAP52443.2021.00021,https://doi.org/10.1109/ASAP52443.2021.00021,False,False,True,,"International Conference on Application-specific Systems, Architectures and Processors (ASAP)",DEADBEEF
2020,arXiv,article,__no_data__,['BERT'],__no_data__,Binarybert: Pushing the limit of bert quantization,https://doi.org/10.48550/arXiv.2012.15701,https://doi.org/10.48550/arXiv.2012.15701,False,False,True,,Computer Science > Computation and Language,DEADBEEF
2021,Springer,article,__no_data__,['BERT'],__no_data__,Biomedical Named Entity Recognition at Scale,https://doi.org/10.1007/978--3--030--68763--2_48,https://doi.org/10.1007/978-3-030-68763-2_48,False,False,True,,International Conference on Pattern Recognition,DEADBEEF
2022,arXiv,article,__no_data__,['BERT'],__no_data__,BiT: Robustly Binarized Multi-distilled Transformer,https://doi.org/10.48550/arXiv.2205.13016,https://doi.org/10.48550/arXiv.2205.13016,False,False,True,,Computer Science > Machine Learning,DEADBEEF
2021,arXiv,article,__no_data__,['BERT'],__no_data__,Block pruning for faster transformers,https://doi.org/10.48550/arXiv.2109.04838,https://doi.org/10.48550/arXiv.2109.04838,False,False,True,,Computer Science > Machine Learning,DEADBEEF
2022,arXiv,article,__no_data__,['BERT'],__no_data__,Boosting Distributed Training Performance of the Unpadded BERT Model,https://doi.org/10.48550/arXiv.2208.08124,https://doi.org/10.48550/arXiv.2208.08124,False,False,True,,"Computer Science > Distributed, Parallel, and Cluster Computing",DEADBEEF
2020,ACM,article,__no_data__,['BERT'],__no_data__,Capuchin: Tensor-based GPU Memory Management for Deep Learning,https://doi.org/10.1145/3373376.3378505,https://doi.org/10.1145/3373376.3378505,False,False,True,,International Conference on Architectural Support for Programming Languages and Operating Systems,DEADBEEF
2020,arXiv,article,__no_data__,['BERT'],__no_data__,CATBERT: Context-Aware Tiny BERT for Detecting Social Engineering Emails,https://doi.org/10.48550/arXiv.2010.03484,https://doi.org/10.48550/arXiv.2010.03484,False,False,True,,Computer Science > Cryptography and Security,DEADBEEF
2020,arXiv,article,__no_data__,['BERT'],__no_data__,CatBERT: Context-Aware Tiny BERT for Detecting Targeted Social Engineering Emails,https://doi.org/10.48550/arXiv.2010.03484,https://doi.org/10.48550/arXiv.2010.03484,False,False,True,,Computer Science > Cryptography and Security,DEADBEEF
2023,arXiv,article,__no_data__,['BERT'],__no_data__,CHARM: Composing Heterogeneous Accelerators for Matrix Multiply on Versal ACAP Architecture,https://doi.org/10.48550/arXiv.2301.02359,https://doi.org/10.48550/arXiv.2301.02359,False,False,True,,Computer Science > Hardware Architecture,DEADBEEF
2020,ACM,article,__no_data__,['BERT'],__no_data__,ColBERT: Efficient and Effective Passage Search via Contextualized Late Interaction over BERT,https://doi.org/10.1145/3397271.3401075,https://doi.org/10.1145/3397271.3401075,False,False,True,,International ACM SIGIR Conference on Research and Development in Information Retrieval,DEADBEEF
2020,Springer,article,__no_data__,['BERT'],__no_data__,Combining Feature Selection Methods with BERT: An In-depth Experimental Study of Long Text Classification,https://doi.org/10.1007/978--3--030--67537--0_34,https://doi.org/10.1007/978-3-030-67537-0_34,False,False,True,,"International Conference on Collaborative Computing: Networking, Applications and Worksharing",DEADBEEF
2022,arXiv,article,__no_data__,['BERT'],__no_data__,Compact Token Representations with Contextual Quantization for Efficient Document Re-ranking,https://doi.org/10.48550/arXiv.2203.15328,https://doi.org/10.48550/arXiv.2203.15328,False,False,True,,Computer Science > Information Retrieval,DEADBEEF
2020,MDPI,article,__no_data__,['BERT'],__no_data__,Comparison of Deep Learning Models and Various Text Pre-Processing Techniques for the Toxic Comments Classification,https://doi.org/10.3390/app10238631,https://doi.org/10.3390/app10238631,False,False,True,,Natural Language Processing: Emerging Neural Approaches and Applications,DEADBEEF
2020,arXiv,article,__no_data__,['BERT'],__no_data__,Compressing BERT: Studying the Effects of Weight Pruning on Transfer Learning,https://doi.org/10.48550/arXiv.2002.08307,https://doi.org/10.48550/arXiv.2002.08307,False,False,True,,Computer Science > Computation and Language,DEADBEEF
2021,MIT%20Press,article,__no_data__,['BERT'],__no_data__,Compressing Large-Scale Transformer-Based Models: A Case Study on BERT,https://doi.org/10.1162/tacl_a_00413,https://doi.org/10.1162/tacl_a_00413,False,False,True,,Transactions of the Association for Computational Linguistics,DEADBEEF
2022,arXiv,article,__no_data__,['BERT'],__no_data__,Compressing Pre-trained Transformers via Low-Bit NxM Sparsity for Natural Language Understanding,https://doi.org/10.48550/arXiv.2206.15014,https://doi.org/10.48550/arXiv.2206.15014,False,False,True,,Computer Science > Computation and Language,DEADBEEF
2020,ACM,article,__no_data__,['BERT'],__no_data__,Compression of deep learning models for NLP,https://doi.org/10.1145/3340531.3412171,https://doi.org/10.1145/3340531.3412171,False,True,True,,ACM International Conference on Information & Knowledge Managemen,DEADBEEF
2022,arXiv,article,__no_data__,['BERT'],__no_data__,Compression of Generative Pre-trained Language Models via Quantization,https://doi.org/10.48550/arXiv.2203.10705,https://doi.org/10.48550/arXiv.2203.10705,False,False,True,,Computer Science > Computation and Language,DEADBEEF
2022,MDPI,article,__no_data__,['BERT'],__no_data__,CONNA: Configurable Matrix Multiplication Engine for Neural Network Acceleration,https://doi.org/10.3390/electronics11152373,https://doi.org/10.3390/electronics11152373,False,True,True,,Electronics,DEADBEEF
2022,arXiv,article,__no_data__,['BERT'],__no_data__,CPSAA: Accelerating Sparse Attention using Crossbar-based Processing-In-Memory Architecture,https://doi.org/10.48550/arXiv.2210.06696,https://doi.org/10.48550/arXiv.2210.06696,False,False,True,,Computer Science > Hardware Architecture,DEADBEEF
2021,Springer,article,__no_data__,['BERT'],__no_data__,DAP-BERT: Differentiable Architecture Pruning of BERT,https://doi.org/10.1007/978--3--030--92185--9_30,https://doi.org/10.1007/978-3-030-92185-9_30,False,False,True,,International Conference on Neural Information Processing,DEADBEEF
2020,IEEE,article,__no_data__,['BERT'],__no_data__,Deep Learning Acceleration with Neuron-to-Memory Transformation,https://doi.org/10.1109/HPCA47549.2020.00011,https://doi.org/10.1109/HPCA47549.2020.00011,False,False,True,,International Symposium on High Performance Computer Architecture (HPCA),DEADBEEF
